OT;Núm. Trabajo;Descripción Trabajo;VIN;Marca;Gama;Año;;Tipo Cargo;Tipo de Trabajo;Cliente Cargo  ;Kms.;F. Entrada;F. Cierre;Dif. F. Alta-F.Cierre;Estado
OTF/262/2025;1;CLIENTE REPORTA PINTURA SENSORES (Asesora Paula Andrea);ATP714718;Hyundai;HB20;2026;;Cliente;COLISION;86127;10;3/07/2025;3/07/2025;0;Facturada
OTF/286/2025;1;CLIENTE REPORTA DIFUMINADO BOMPER DELANTERO Y TRASERO;ATM329604;Hyundai;Grand I10 NB;2026;;Interno;COLISION;2;10;7/07/2025;10/07/2025;3;Facturada
OTF/935/2025;1;CLIENTE REPORTA VEHICULO NO ENCIENDE, LLEGA EN GRUA ;BRP399950;Hyundai;Getz;2024;;Cliente;MECANICA;58699;10;20/10/2025;20/10/2025;0;Anulado
OTM/1832/2025;1;"orden de prueba
";ESU261190;Hyundai;Kona;2025;;Interno;OTRO;2;10;22/04/2025;22/04/2025;0;Anulado
OTM/1835/2025;2;"CLIENTE REPORTA BRILLADO GENERAL
";DTJ362954;Hyundai;Tucson;2026;;Interno;OTRO;2;10;2/05/2025;12/05/2025;10;Facturada
OTM/1837/2025;2;"CLIENTE REPORTA CAMBIO DE LLANTAS Y RINES  INFORM CRISTIAN
";GTU129625;Hyundai;Kona;2026;;Interno;MECANICA;2;10;2/05/2025;7/06/2025;36;Facturada
OTM/1842/2025;2;"CLIENTE REPORTA BRILLADO GENERAL 
";BTP707508;Hyundai;HB20S;2026;;Interno;OTRO;2;10;2/05/2025;12/05/2025;10;Facturada
OTM/1855/2025;1;CLIENTE REPORTA EMBELLECIMIENTO ;GSU115394;Hyundai;Kona;2025;;Interno;OTRO;2;10;7/05/2025;9/05/2025;2;Facturada
OTM/1871/2025;1;"CLIENTE REPORTA TOMA DE IMPRONTAS 
";ATM329858;Hyundai;Grand I10 NB;2026;;Interno;MECANICA;2;10;10/05/2025;20/05/2025;10;Facturada
OTM/1899/2025;1;"CLIENTE REQUEIRE EMBELLECIMIENTO PARA EXHIBICION AUTORIZA CRISTIAN
";DSU105670;Hyundai;Santa Fe;2025;;Interno;OTRO;2;10;15/05/2025;16/05/2025;1;Facturada
OTM/1900/2025;1;"CLIENTE REPORTA
BRILLADO GENERAL";GSU097779;Hyundai;Kona;2025;;Interno;OTRO;2;10;16/05/2025;18/05/2025;2;Facturada
OTM/1902/2025;1;CLIENTE REPORTA REEMBELLECIMIENTO VEHICULO NUEVO;GSU122809;Hyundai;Kona;2025;;Interno;OTRO;2;10;16/05/2025;18/05/2025;2;Facturada
OTM/1903/2025;1;CLIENTE REPORTA LAVADO DEMOCAR;DSU083951;Hyundai;Santa Fe;2025;;Interno;OTRO;2;10;16/05/2025;18/05/2025;2;Facturada
OTM/1917/2025;1;"CLIENTE SOLICITA  INSTALACION DE RADIOS ORIGINALE

";ATM614960;Hyundai;Grand I10;2026;;Cliente;OTRO;36599;10;20/05/2025;20/05/2025;0;Facturada
OTM/1943/2025;1;"CLIENTE SOLICTA LAVADO  DEMOCAR
";DSU055758;Hyundai;Santa Fe;2025;;Cliente;OTRO;2;10;27/05/2025;25/07/2025;59;Anulado
OTM/1953/2025;1;"CLIENTE SOLICITA REEMBELLECIMIENTO Y CORREGIR RAYON LEVES
";ASM604737;Hyundai;Grand I10;2025;;Interno;COLISION;2;10;30/05/2025;5/06/2025;6;Facturada
OTM/1956/2025;1;"REEMBELLECIMIENTO  VEHIUCLO NUEVO
";DSU105670;Hyundai;Santa Fe;2025;;Interno;OTRO;2;10;31/05/2025;1/06/2025;1;Facturada
OTM/1957/2025;1;"CLIENTE SOLICITA TOMA IMPRONTAS
";BTJ366215;Hyundai;Tucson;2026;;Interno;MECANICA;2;10;1/06/2025;1/06/2025;0;Facturada
OTM/1964/2025;1;LATONERIA Y PINTURAS SEGUN CORREO ANEXO;BRU112485;Hyundai;Staria;2024;;Cliente;COLISION;26786;10;3/06/2025;19/06/2025;16;Facturada
OTM/1964/2025;2;LATONERIA Y PINTURAS SEGUN CORREO ANEXO;BRU112485;Hyundai;Staria;2024;;Cliente;COLISION;26786;10;3/06/2025;4/09/2025;0;Facturada
OTM/1964/2025;3;LATONERIA Y PINTURAS SEGUN CORREO ANEXO;BRU112485;Hyundai;Staria;2024;;Cliente;COLISION;26786;10;3/06/2025;4/09/2025;0;Facturada
OTM/1969/2025;1;"CLIENTE REPORTA BRILLADO GENERAL
";ESU280434;Hyundai;Kona;2025;;Interno;OTRO;2;10;4/06/2025;8/06/2025;4;Facturada
OTM/1970/2025;1;"CLIENTE REPORTA BRILLADO GENERAL Y BODEGAJE
";GTU123878;Hyundai;Kona;2026;;Interno;OTRO;2;10;4/06/2025;7/06/2025;3;Facturada
OTM/1971/2025;2;CLIENTE REPORTA  BRILADO GENERAL Y RETOQUE DE PINTURA PTA;ARU131649;Hyundai;Staria;2024;;Interno;COLISION;2;10;4/06/2025;8/06/2025;3;Anulado
